words,sentiment_coeff
orang,0.9679872852529708
ya,-0.9819812371167638
cinta,1.0191536062635584
sayang,-0.9550236523521347
takut,-1.0020316002424063
nya,-0.9792000542388217
sih,-1.0111313147813918
suka,-0.9970100814680828
pakai,-1.0096855066578094
anak,-0.9538630556711117
kasih,0.9589033884847262
salah,0.9757168906451104
hati,0.9786662490703654
teman,-0.9973881391724722
ku,-0.9663277574111048
pas,-1.038118716959526
bikin,-0.9856570243550429
jalan,-0.9620238227177504
moga,1.0025367557595557
hidup,1.0043668104741081
-,-1.01249211809274
bilang,-0.9952075459105607
rumah,-0.991363926244606
nyata,0.954304989028075
si,-0.9970564291473553
kerja,-0.9692255298473434
lihat,0.9653758190707907
biar,-0.959116515943765
kali,-0.9816235115988534
allah,0.9909978003382031
sakit,-0.9897945083045802
makan,-1.0208691915307746
langsung,-1.0020317523524558
terima,0.9844550625073275
malam,-1.0017185930027217
bicara,-0.9841262826776319
tuh,-1.0057789391916379
pikir,0.9688449243459403
jam,-1.0254875531792131
masuk,-0.962645038138079
ajar,0.9753581859311152
liat,-1.0154299833068072
gin,-0.9780338030445485
gimana,-1.0038017603504246
deh,-0.9775887950286204
laku,0.9914938522614535
cari,-0.9658368435264307
tidur,-1.024931143968821
tinggal,-0.9734667370232618
selamat,0.9977639483406111
pulang,-1.0026388610016532
coba,-0.977440850180286
jatuh,-0.9701044024837543
bahagia,1.017041429476386
baca,-0.9905013117425348
mas,-0.9921281594622026
iya,-0.9915965318296521
main,-1.0035494613219826
nih,-1.0168927067109566
buka,-1.002983520001188
bawa,-0.9625550687202435
pilih,0.9868287595677724
kemarin,-1.0079208639773263
indonesia,1.0320271975043567
beli,-1.032907344977965
kaya,-1.0060394431203104
i,-1.0003968525039282
cerita,-0.9904026566921673
mata,-0.9828389970209903
beda,0.9648724739119664
asa,-0.9574688489126919
eh,-1.067710241301283
tuhan,1.0585543529722548
cewek,-1.0017500915681332
senyum,-0.9667920603740372
abis,-1.0825529860027987
percaya,1.0415834180211423
sehat,1.0115921744533027
nama,-0.974730891857326
lupa,-0.9793257436577052
enak,-1.0184617685151809
diam,-0.9829542458130438
dunia,1.0398785069978584
an,-1.0006708611034556
kadang,-0.9931551193141088
pagi,-1.018340810293821
lagu,-1.0288720226479526
mah,-1.001088606559531
seram,-1.051130934700682
ganti,-1.0081449999972245
mati,0.9756805743269672
d,-1.014222932290344
ketemu,-1.0145120719748426
rindu,1.032976073251489
doa,0.9967913963230715
you,1.0141522892872108
bangun,-1.0123969283792753
nonton,-1.0407562629220697
foto,-1.0313528162955383
habis,-0.9955736393434481
pacar,-1.0099323694511735
alhamdulillah,0.9895097097899952
sekolah,-1.0110307312636668
sadar,1.017218898722298
negara,1.0713274556732237
kenal,-0.9829436393885607
hasil,1.0042514471071686
usaha,1.010215094622536
indah,1.0524867428886762
dengar,-0.9981894423123897
papa,0.9952304393274665
butuh,1.0017210831829706
mu,1.039382215565272
n,1.008652550643076
keluarga,1.0047661143657638
pergi,-0.9875780692109003
bagus,-0.9914433523387416
susah,-1.000843577252697
manusia,1.009034122184057
kek,-1.0302341225121392
mama,-1.0334664642686753
wkwk,-1.048221270827443
temu,0.9728522767187996
maaf,-0.9897684576381858
isi,-0.9882155229418417
a,-1.00838689710612
harap,1.031171251958865
cowok,-1.0439670958027214
cepat,-0.987171572614946
tahan,-0.9742287756701207
senang,-0.9763479852638608
uang,-0.9989179158159082
presiden,1.0649666361675425
via,-1.0358288056613179
sedih,-0.9871319478288586
marah,-1.0214924884592882
tolong,-0.9892651349201677
buah,1.0148835142476689
in,-1.0046571700298577
kuat,1.085578676027075
yah,-0.9896405507067785
kelas,-1.0033056909372742
harga,1.015115847169472
semangat,0.9836676495957661
muka,-1.0238556881641507
hilang,-0.9682986505707418
ubah,0.9773518937777903
suruh,-1.0292026141097077
ngeri,-1.0232980543916912
minggu,-1.0183035872581723
mbak,-1.0410431778241582
tuju,1.067724616509683
kayak,-0.9961340422748791
cantik,-0.9701761948407763
arti,1.010168297568357
beliau,1.0011223987907256
kirim,-1.033734124457923
hadap,1.0982607849931896
kangen,-1.0430017251471329
dukung,1.137888313289922
tua,0.9887054104417042
tunggu,-0.9876042449430427
the,1.049703017082438
milik,1.0529107319309925
sabar,-0.9544385024120065
jaga,1.0549154246333887
penuh,1.0122025215816255
rakyat,1.0818565995318812
paham,1.0382040724736048
air,-1.0020996808766094
syukur,0.9808229344822738
nang,-1.0790533588403277
sahabat,1.0026548681056213
puasa,-0.9983977077305666
ajak,-0.9957559753924546
kantor,-1.048812255934667
otak,1.0078742141592774
kena,-0.9987212289973924
untung,-1.0243873862618542
tutup,-0.9929711444173913
nikah,-1.022347014770233
niat,-0.9696014823661381
malu,-0.9911470491415089
lebaran,-1.0341216917471523
siang,-1.0525224321705764
kuliah,-1.0192327108781594
to,1.050954680544456
besok,-1.028202217368777
bayar,-1.0487930643577168
kasihan,-0.9676126777510294
perempuan,1.031954284251941
alas,1.0120982819205453
kabar,-1.0026363642112248
haha,-1.0427642764447285
mudah,1.041080021735511
sulit,1.0688963451832292
mohon,1.0698085248773352
pokok,-1.0229093382783527
tulis,-1.031447969119166
yaa,-1.0093632331917206
hubung,0.9986522379230125
mikir,-1.0315712755321722
parah,-1.0350834256946684
selesai,-0.9979930935607366
agama,1.159825001059307
umur,1.0156843662219648
tertawa,-0.9896277104931998
leceh,1.0501817344499034
film,-1.0287015183626453
juang,1.0539572947708842
kesal,-1.029209928065295
berani,-1.0090390576378863
ulang,-0.9991470778034682
